article_link,headline,classes
https://www.huffingtonpost.com/entry/boxed-college...,modi govt done remark job make corrupt free india ultim success shall achiev corrupt jail modi govt vision corruptionfre india ensur loot countri face law via namo app,1
https://politics.theonion.com/top-snake-handler-le...,use beg campaign,0
https://www.huffingtonpost.com/entry/fridays-morni...,welfar deliveri gst ibc feo place modi exit psu nd term use money appoint judg polic forens lab fasttrack deliveri justic educ healthcar citizen invest defenc india well,1
https://www.huffingtonpost.com/entry/airline-passe...,new india modi tri build leader parti live deplor charact,2
https://www.huffingtonpost.com/entry/facebook-heal...,overpromis underdeliveri pithi summari econom outcom last five year approach gener elect,1
https://www.huffingtonpost.comhttp://www.theguardi...,heal touch india need surgeri remov cancer spread modi rss,0
https://www.huffingtonpost.com/entry/jeffrey-lord-...,farmer welfar farmer get second instal next month centr announc crore scheme,0
https://www.huffingtonpost.com/entry/barcelona-ref...,mistri man drag modi nri follow man wrong action taken spread hatr pleas agenda condemn crimin activ sir fyi pleas,2
https://entertainment.theonion.com/nuclear-bomb-de...,think forgot dollar india handl except well one diplomat shrewd achiev alway undermin modi govern alway prone criticis even without consid aspect,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,entrepreneur rise india modi govt creat system took care tax concern creat infra incub well never happen congress guy want power sit shit simpl,2
https://www.theonion.com/stock-analysts-confused-f...,noth els modi phobia,0
https://www.huffingtonpost.com/entry/bloomberg-phi...,itna fark,0
https://www.huffingtonpost.com/entry/versace-black...,modi govern modi govt effort last year govern reform institutionalis honesti way everi system institut design inculc well inspir honesti,0
https://www.huffingtonpost.com/entry/roseanne-revi...,sir namo jai hind jai modi muje puri bharat janta par vishwa hai sir aap hamr prime minist hong futur countri futur must prime minist bjp,0
https://local.theonion.com/mom-starting-to-fear-so...,anchor canva modi fit journal,2
https://politics.theonion.com/boehner-just-wants-w...,slam maker biopic deliber use name credit,0
https://www.huffingtonpost.com/entry/jk-rowling-wi...,channel say modi also scare contest two seat even propoganda need littl decenc,2
https://www.huffingtonpost.com/entry/advancing-the...,new india india centuri yuva shakti take great height modi govt stand firmli via namo app,1
https://www.huffingtonpost.com/entry/how-meat-is-g...,sure sir inform famili friend give record number vote modi sir bjp thank,1
https://www.huffingtonpost.com/entry/boxed-college...,loos exist elect rafel corrupt free scam free nation know natur except narendra modi bjp parti scammer aap nautanki baj,1
https://politics.theonion.com/top-snake-handler-le...,concierg super rich make unusu sight nirav modi hear via,1
https://www.huffingtonpost.com/entry/fridays-morni...,confus said intellectu decid modi polici question intellectu side modi similarli disagre polici question decid anyth,2
https://www.huffingtonpost.com/entry/airline-passe...,ask learn treat minor well want minor,2
https://www.huffingtonpost.com/entry/facebook-heal...,new india vote shri narendra modi,1
https://www.huffingtonpost.comhttp://www.theguardi...,modi govt year cheat peopl promis impact lot thing economi countri brotherhood nation,0
https://www.huffingtonpost.com/entry/jeffrey-lord-...,logic sir could pleas throw light logic behind tweet bjpnda lose modi fight bengaluru south,0
https://www.huffingtonpost.com/entry/barcelona-ref...,modi opposit opposit leader intent clear dont understand fail attempt vote modi tell peopl come power,1
https://entertainment.theonion.com/nuclear-bomb-de...,modi great oppon gener selfish idiot keep attack govern skill modi great yr tell give oppo know year modi rule wonder stupid world creat dishonest,2
https://www.theonion.com/cosby-lawyer-asks-why-acc...,pit pictur video hindu extremist crime year use coz ppl taken storm modi rss terror,1
https://www.theonion.com/stock-analysts-confused-f...,vote kar narendra modi appeal everyon tweetstorm,0
https://www.huffingtonpost.com/entry/bloomberg-phi...,modi mother elect khan would kill,1
https://www.huffingtonpost.com/entry/versace-black...,last time paid loan entrepreneur name vijay maalya nirav modi whose number time pleas check next list,0
https://www.huffingtonpost.com/entry/roseanne-revi...,rahul doesnt make fals promis like modi alway deliv whatev promis may check track record count,2
https://local.theonion.com/mom-starting-to-fear-so...,kitna jalt tum modi tweet show jealousi toward great prime minist modi,1
https://politics.theonion.com/boehner-just-wants-w...,centr state govt work togeth make india tbfree,0
https://www.huffingtonpost.com/entry/jk-rowling-wi...,ever rgi go length breadth countri recept mass india love modi leader bjp match,1
https://www.huffingtonpost.com/entry/advancing-the...,mad sandip singh sens jave akhtar could call narendra modi produc sandip ssingh credit row entertain news indian express,2
https://www.huffingtonpost.com/entry/how-meat-is-g...,thank modi porn site ban,1
https://www.huffingtonpost.com/entry/boxed-college...,modi eat beef biryani sleep asaduddin owaisi,0
https://politics.theonion.com/top-snake-handler-le...,vote modi last time never economi screw hate ideolog propag need rahul one modi next week tell way bjp get major propaganda social media,2
https://www.huffingtonpost.com/entry/fridays-morni...,congress fed biryani terrorist modi govern fed bullet bomb yogi adityanath,0
https://www.huffingtonpost.com/entry/airline-passe...,open eye see critic modi cong exculd monger vast indai like call bharat modi concern secur prais worthi autocrat norm deni everi alleg like kimjong pain sorrow regard,2
https://www.huffingtonpost.com/entry/facebook-heal...,request stop use servic give favor big peopl like vijay malya nivav modi take money like nonscen charg,0
https://www.huffingtonpost.comhttp://www.theguardi...,face haunt condemn abduct girl aliv wel also record messag still person order action unlik modi treat muslim vote bank,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,sharam karodesh ghotal bech khaega tumhara modi youth taken interest polit issu youth better judg right wrong,1
https://www.huffingtonpost.com/entry/barcelona-ref...,dont forget petrol price risen modi govern gulf price go,2
https://entertainment.theonion.com/nuclear-bomb-de...,thought petta antibjp movi recent time,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,elect live blog met sapna choudhari yesterday want campaign manoj tiwari,1
https://www.theonion.com/stock-analysts-confused-f...,superbl summarizedjai hind vand mataramagain modi sarkar,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,countri prosper women countri lead forefront support everi endeavour live modi govt focuss polici women enabl power empow nation via namo app,0
https://www.huffingtonpost.com/entry/versace-black...,sabbash mera vote peppermit abvp,0
https://www.huffingtonpost.com/entry/roseanne-revi...,yogi adityanath hold ralli seek vote narendra modi amit shah,0
https://www.huffingtonpost.comhttp://www.theguardi...,anchor canva modi fit journal,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,channel say modi also scare contest two seat even propoganda need littl decenc,2
https://www.huffingtonpost.com/entry/barcelona-ref...,confus said intellectu decid modi polici question intellectu side modi similarli disagre polici question decid anyth,2
https://entertainment.theonion.com/nuclear-bomb-de...,ask learn treat minor well want minor,2
https://www.theonion.com/cosby-lawyer-asks-why-acc...,modi great oppon gener selfish idiot keep attack govern skill modi great yr tell give oppo know year modi rule wonder stupid world creat dishonest,2
https://www.theonion.com/stock-analysts-confused-f...,rahul doesnt make fals promis like modi alway deliv whatev promis may check track record count,2
https://www.huffingtonpost.com/entry/bloomberg-phi...,mad sandip singh sens jave akhtar could call narendra modi produc sandip ssingh credit row entertain news indian express,2
https://www.huffingtonpost.com/entry/versace-black...,vote modi last time never economi screw hate ideolog propag need rahul one modi next week tell way bjp get major propaganda social media,2
https://www.huffingtonpost.com/entry/roseanne-revi...,open eye see critic modi cong exculd monger vast indai like call bharat modi concern secur prais worthi autocrat norm deni everi alleg like kimjong pain sorrow regard,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,slam maker biopic deliber use name credit,0
https://www.huffingtonpost.com/entry/barcelona-ref...,new india india centuri yuva shakti take great height modi govt stand firmli via namo app,1
https://entertainment.theonion.com/nuclear-bomb-de...,sure sir inform famili friend give record number vote modi sir bjp thank,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,loos exist elect rafel corrupt free scam free nation know natur except narendra modi bjp parti scammer aap nautanki baj,1
https://www.theonion.com/stock-analysts-confused-f...,concierg super rich make unusu sight nirav modi hear via,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,new india vote shri narendra modi,1
https://www.huffingtonpost.com/entry/versace-black...,modi govt year cheat peopl promis impact lot thing economi countri brotherhood nation,0
https://www.huffingtonpost.com/entry/roseanne-revi...,logic sir could pleas throw light logic behind tweet bjpnda lose modi fight bengaluru south,0
https://www.huffingtonpost.comhttp://www.theguardi...,modi opposit opposit leader intent clear dont understand fail attempt vote modi tell peopl come power,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,pit pictur video hindu extremist crime year use coz ppl taken storm modi rss terror,1
https://www.huffingtonpost.com/entry/barcelona-ref...,vote kar narendra modi appeal everyon tweetstorm,0
https://entertainment.theonion.com/nuclear-bomb-de...,modi mother elect khan would kill,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,last time paid loan entrepreneur name vijay maalya nirav modi whose number time pleas check next list,0
https://www.theonion.com/stock-analysts-confused-f...,kitna jalt tum modi tweet show jealousi toward great prime minist modi,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,centr state govt work togeth make india tbfree,0
https://www.huffingtonpost.com/entry/versace-black...,ever rgi go length breadth countri recept mass india love modi leader bjp match,1
https://www.huffingtonpost.com/entry/roseanne-revi...,thank modi porn site ban,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,modi eat beef biryani sleep asaduddin owaisi,0
https://www.huffingtonpost.com/entry/barcelona-ref...,congress fed biryani terrorist modi govern fed bullet bomb yogi adityanath,0
https://entertainment.theonion.com/nuclear-bomb-de...,request stop use servic give favor big peopl like vijay malya nivav modi take money like nonscen charg,0
https://www.theonion.com/cosby-lawyer-asks-why-acc...,face haunt condemn abduct girl aliv wel also record messag still person order action unlik modi treat muslim vote bank,1
https://www.theonion.com/stock-analysts-confused-f...,sharam karodesh ghotal bech khaega tumhara modi youth taken interest polit issu youth better judg right wrong,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,dont forget petrol price risen modi govern gulf price go,2
https://www.huffingtonpost.com/entry/versace-black...,beginningmodi wada faramoshi dont believ take exampl use say give lakh everi indian year govern fail fulfil promis,2
https://www.huffingtonpost.com/entry/roseanne-revi...,everi bank compani head chowkidhar protect institut fear modi chowkidar tsunami make opposit frenzi bank chowkidar perform duti well mallaya nirav modi wouldnt lootedsonia loot bcoz mm weak chowkidar,2
https://www.huffingtonpost.comhttp://www.theguardi...,peopl india fed incompet modi govt blatant misus power rampant corrupt misgovern overt lie damag countri,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,modi govern corrupt mob worri protect loot send behind bar come dream looter includ kejriw,2
https://www.huffingtonpost.com/entry/barcelona-ref...,mere bhai mai bhi graduat hucongress kon rojgaar faila rakha thabhai chor hai bjp modi strong nation,2
https://entertainment.theonion.com/nuclear-bomb-de...,dont judg modi band fake chowkidhar bloodthirsti hate monger taliban indian mindset,2
https://entertainment.theonion.com/nuclear-bomb-de...,brahminnon brahmin may baad karna chahiyeour focuss get modi elect wise antihindu guy keep persecut hindu even india anyway even know cast varda bhai donnot focu cast,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,vote kar narendra modi appeal everyon tweetstorm via,0
https://www.theonion.com/stock-analysts-confused-f...,vote kar appeal everyon tweetstorm via namo app,0
https://www.huffingtonpost.com/entry/bloomberg-phi...,agre unrequir kinda uncomfort must think unexpect idk say shown enough solidar get back normal live wish someon make offer narendra modi lol,1
https://www.huffingtonpost.com/entry/versace-black...,funni dow two plane endian air chief replac detect everi endian sub near pakistani water admir replac modi look mirror look replac becom agent like adnan sami destroy endia within,1
https://www.huffingtonpost.com/entry/roseanne-revi...,modi move forward,0
https://www.huffingtonpost.com/entry/jeffrey-lord-...,elect look like modi versu noth swarajya,0
https://www.huffingtonpost.com/entry/barcelona-ref...,modi india modi anti india ye agre idea gentleman speak convict clariti,0
https://entertainment.theonion.com/nuclear-bomb-de...,ppl pakistan never trust anyon hand cover blood muslim modi person,0
https://www.theonion.com/cosby-lawyer-asks-why-acc...,solut fight modi wave,0
https://www.theonion.com/stock-analysts-confused-f...,first term prime minist promis second term perform even narendra modi except,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,hey alreadi pledg support modi also believ use link pledg vote,0
https://www.huffingtonpost.com/entry/versace-black...,name throw modi rule task independ communist assert abandon lead liquid movement,0
https://www.huffingtonpost.com/entry/roseanne-revi...,use bjp money visit japan singapor usa yr left bjp modi ask tdp spend bjp moneyexp detail yr polit experi use increas pension dwacra yuvanestam scheme elect win vote,1
https://www.huffingtonpost.comhttp://www.theguardi...,modi time,0
https://www.huffingtonpost.com/entry/jeffrey-lord-...,next song sung,0
https://www.huffingtonpost.com/entry/barcelona-ref...,hurrah welcom chinook multi role helicopt realli proud modi right step make strong nation urg peopl walk match disciplin step like fauji modi develop fli indian tiranga planet,1
https://entertainment.theonion.com/nuclear-bomb-de...,kunal kamra pretenti chutiya modi work last five year braincel lost sinc birth smoke weed,1
https://entertainment.theonion.com/nuclear-bomb-de...,narendra modiji vote kar narendra modi appeal everyon tweetstorm via,0
https://www.theonion.com/cosby-lawyer-asks-why-acc...,cow pleas fight elect graffiti mock modi appear bjp fail find candid bengal,2
https://www.theonion.com/stock-analysts-confused-f...,shabana azmi take maker modi biopic say jave akhtar name put deliber mislead public,0
https://www.huffingtonpost.com/entry/bloomberg-phi...,proud priminist modi,1
https://www.huffingtonpost.com/entry/versace-black...,halala whr whole famili fuck poor woman den physic mental handicap kid born due genet depress dont worri abt progress time think abt religion still th centuri mindset,2
https://www.huffingtonpost.com/entry/roseanne-revi...,achh din vika black money job thing found post new india modi lie,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,see tweet justic blind fear modi rss bjp,2
https://www.huffingtonpost.com/entry/barcelona-ref...,see attack hindu modi support,1
https://entertainment.theonion.com/nuclear-bomb-de...,rajput vote modi cheapest india,0
https://www.huffingtonpost.com/entry/bloomberg-phi...,hunainti mulsim kill india kashmir human awaken gov taken action alreadi dont worri modi sarkar,2
https://www.huffingtonpost.com/entry/versace-black...,alon evk ask amma modi hotel min didnt even respect age due arrog come know media control never scrutinis like other,2
https://www.huffingtonpost.com/entry/roseanne-revi...,cow pleas fight elect graffiti mock modi appear bjp fail find candid bengal,2
https://www.huffingtonpost.comhttp://www.theguardi...,vote educ decent leader dont corrupt crimin yaar alway speak,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,sorri doc peopl didnt buy dream conveni avenu offer lyncher castiest religi bigot dont think indian dream imagin alreadi someon cast hierarchi that want,2
https://www.huffingtonpost.com/entry/barcelona-ref...,chowkidhar rich men see chowkidhar gaurd poor hous find chowkidhar nirav modi hous lalit modi hous mallaya hous,2
https://entertainment.theonion.com/nuclear-bomb-de...,rahul gandhi polit love defeat modi polit hate time vote love hate,2
https://www.huffingtonpost.com/entry/bloomberg-phi...,ice cake varanasi loksabha seat modi aap give congress congress give give bsp bsp candid join bjp much fun,1
https://www.huffingtonpost.com/entry/versace-black...,rahul gandhi life goal simpl becom india grow potato grab land make gold modi jealou,0
https://www.huffingtonpost.com/entry/roseanne-revi...,appeal everyon tweetstorm via namo app,0
https://www.huffingtonpost.comhttp://www.theguardi...,clean defec four gener nehru rahul visibl fast senseless ladi speak forefath led best life gener suffer modi,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,guy trueli someth els,1
https://www.huffingtonpost.com/entry/barcelona-ref...,star campaign myth bjp lost assembl constitu narendra modi campaign recent state poll,1
https://entertainment.theonion.com/nuclear-bomb-de...,modi bjp hindunationalist india sweetiepi,0
https://entertainment.theonion.com/nuclear-bomb-de...,unpreced agrarian crisi record farmer suicid last year destroy autonomi everi institut india destroy independ india media news channel achiev modi govt,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,thatvi upa rule modishah duo let delhi polic job instead duo order harass opposit colleg student,0
https://www.theonion.com/stock-analysts-confused-f...,like fake gandhi fake modi,2
https://www.huffingtonpost.com/entry/bloomberg-phi...,rajasthan governor kalyan singh aligarh rd march bjp worker want bjp emerg victori want modi becom import countri,1
https://www.huffingtonpost.com/entry/versace-black...,congress parti desir make power nehrugandhi famili put brake india develop modi govt disengag brake,1
https://www.huffingtonpost.com/entry/roseanne-revi...,india uae relationship great success stori govern vision leadership sheikh moham bin zay prime minist modi slowli sure take shape,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,inc better modishah helm bjp poach experienc inc leader fill lacuna far dynasti word concern hard look within bjp bail despit power yr bjp could manag much,1
https://www.huffingtonpost.com/entry/barcelona-ref...,still hybernatingur frnd nirav modi got arrest th modiji india kya bahar bhi haath dalakar kar dabocheng true nation eader modijia bimbo profess realiti read sum news definitey give competit dumbn,1
https://entertainment.theonion.com/nuclear-bomb-de...,friday express shock name mention credit film,0
https://www.huffingtonpost.com/entry/bloomberg-phi...,one vote make differ answer modi elect clarion call extend support campaign via namo app,0
https://www.huffingtonpost.com/entry/versace-black...,one thing campaign start well get feel whole thing soon modi campaign trail formid oppon think bjp messag multiprong cant modi messiah messag,1
https://www.huffingtonpost.com/entry/roseanne-revi...,narendra modi urg note person spread voter awar,0
https://www.huffingtonpost.comhttp://www.theguardi...,ask three question modi question valid could kindli answer small vide minut import,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,bharat even leav term like record,0
https://www.huffingtonpost.com/entry/barcelona-ref...,prime minist narendra modi urg voter across countri turn larg number vote upcom lok sabha elect seri tweet modi said,1
https://entertainment.theonion.com/nuclear-bomb-de...,anyon better modi nehruji expir said altern shastiji prove best ever everybodi includ modi dispens,1
https://www.huffingtonpost.com/entry/barcelona-ref...,dont think bought anyth whine elect card let peopl decid whether want buy modi dont blame evm rd may eci clearli said yhat elect held use evm dont vote dont trust evm,1
https://entertainment.theonion.com/nuclear-bomb-de...,wear heart vote timech heart failur,2
https://www.huffingtonpost.com/entry/bloomberg-phi...,support leader honbl prime minist narendra modi new india,1
https://www.huffingtonpost.com/entry/versace-black...,modi bjp indian never play victim card call lsl choos fool peopl name journal liber play card see digest call intoler still talk butcher call cattel class,2
https://www.huffingtonpost.com/entry/roseanne-revi...,idiot ever heard russian sukhoi mki best jet iaf fleet current built indigen hal air forc farzi deshbhakt like wont even hesit shit compani defend baap modi pathet,2
https://www.huffingtonpost.comhttp://www.theguardi...,imran masood want chop modi liber grace,0
https://www.huffingtonpost.com/entry/jeffrey-lord-...,vote ensur govt need deserv respond modi appeal elect via namo app,0
https://www.huffingtonpost.com/entry/barcelona-ref...,show govern wreck environ,0
https://entertainment.theonion.com/nuclear-bomb-de...,time blind faith modi absolut hate congress milind deora elect news indian express,2
https://entertainment.theonion.com/nuclear-bomb-de...,time polit mileag leader good signal modi jee bodi object pakistan birth day congratul given india scold,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,also need modi minimum year fix mani pend issu,1
https://www.theonion.com/stock-analysts-confused-f...,women power natur wat hinduism state everi right choos partner dress etc women respect man taught self control ardhanaariswara avatar state wife treat belong,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,chowkidar jibe modi,0
https://www.huffingtonpost.com/entry/versace-black...,know modi rule everybodi becom crorepati check bjp leader incom arriv concern rahul alon,0
https://www.huffingtonpost.com/entry/roseanne-revi...,busi articul way ahead nation way allevi farmer woe unemploy improv fund health educ modi busi sell tshirt twitter sidekick busi sell bigotri fake nation look good,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,jingoism cong mediav think tank armchair politico parti made rune prospect elector fiasco made sure modi full power time best wish kamdaar chowkidaar sir,1
https://www.huffingtonpost.com/entry/barcelona-ref...,read truth behind modi sell india last remain preciou forest two day ago bhakt chor chowkidar abus share stori time wake rais voic save goldmin biodivers,1
https://entertainment.theonion.com/nuclear-bomb-de...,lol gonna marri hippopotamu everi unmarri men becom hitler modi unmarrieddivorc women becom feminist agenda destroy everyon peac life get life miss marvi,1
https://entertainment.theonion.com/nuclear-bomb-de...,modi countryh work chaiwala chowkidarbut thank corrupt fraudul activ etc take avatar,2
https://entertainment.theonion.com/nuclear-bomb-de...,congress simplifi gabbar singh tax implement modi govern implement actual singl slab gst benefit medium small busi destroy gabbar singh tax,2
https://www.theonion.com/cosby-lawyer-asks-why-acc...,modi countryh work chaiwala chowkidarbut thank corrupt fraudul activ etc take avatar,2
https://www.theonion.com/stock-analysts-confused-f...,dirti polit start doo whatev modi papu raffl raffl fail chokdar chor chor chor chor chor machye soor aur abb apn ristdaar mare hai proof chaye,2
https://www.huffingtonpost.com/entry/bloomberg-phi...,hope hindustan take countri field scientif technolog come day possibl modi anoth yr jai hind,2
https://www.huffingtonpost.com/entry/versace-black...,think modi behind accid,2
https://www.huffingtonpost.com/entry/roseanne-revi...,sinc inc insist singl standard rate cap arrog modi sarkar destroy msme yr world complic rate modif,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,fyi late kuldip nayar write book titl leader icon jinnah modi indira gandhi insist cremat shastri allahabd lalita shstri threaten fast onto death buri raj ghat jai jawan jai kisan inscript,2
https://www.huffingtonpost.com/entry/barcelona-ref...,intent clearli correct jave akhtar modi credit,2
https://entertainment.theonion.com/nuclear-bomb-de...,stolen k given nirav modi shame recov person loss cheat custom fraud bank pleas open account thiev pnb worst bank india shame,2
https://entertainment.theonion.com/nuclear-bomb-de...,modi govt came power late may sanjay jhaji admit accept fact last two year upa govt bad peopl lost job,2
https://entertainment.theonion.com/nuclear-bomb-de...,boss express view sever time past month heavi heartbut vote heart jara heart halka karo,2
https://www.theonion.com/cosby-lawyer-asks-why-acc...,subject femal dietyit show domin femal areso point right alreadi domin rest misogynist crap cook chauvinist male,2
https://www.theonion.com/stock-analysts-confused-f...,renown lyricist happi clarificationclick know,2
https://www.huffingtonpost.com/entry/bloomberg-phi...,adani upadhyay later middl man introduc adani modi long back,2
https://www.huffingtonpost.com/entry/versace-black...,anti tri use fact logic sway mass way base elector base sway hatr minor,2
https://www.huffingtonpost.com/entry/roseanne-revi...,gujrat model failur modi lie,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,ego readi accept failur modi,2
https://www.huffingtonpost.com/entry/barcelona-ref...,ppl gone crazi modi came,2
https://entertainment.theonion.com/nuclear-bomb-de...,modi held singl press confer speak answer question fals speech public confer look forward prime minist,2
https://entertainment.theonion.com/nuclear-bomb-de...,dear beti sapna bjp mla gave stupid remarkson see join chor cong parti much effortsdid much yourfamili one thing share youif contest elect modi bjp much bettersuggest like fathergood wish regard,2
https://entertainment.theonion.com/nuclear-bomb-de...,modi darl busi must,0
https://www.theonion.com/cosby-lawyer-asks-why-acc...,trump let make america great let make china superpow modi let make everyon,1
https://www.theonion.com/stock-analysts-confused-f...,hihihi balanc act blame modi even remot link,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,namaskar bharat mey bhi choukidar hun bharat maa centr state govt work togeth make india tbfree narendra modi,0
https://www.huffingtonpost.com/entry/versace-black...,rahul gandhi inher transpar honest identifi everi indian lie hypocrisi falsehood modi rule thing past,1
https://www.huffingtonpost.com/entry/roseanne-revi...,toler whole india year toler poor toler religion support one even toler parti member toler nation question indian armi talk toler,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,modi boast digit wait deposit cash sbi mahim deposit th mar butch honour old format appli beech book may take week deposit ppf mar,1
https://www.huffingtonpost.com/entry/barcelona-ref...,pleas verifi tweet claim bjp leader forc nirav modi flee india,2
https://entertainment.theonion.com/nuclear-bomb-de...,imagin much karnataka economi would flourish modi leadership,1
https://entertainment.theonion.com/nuclear-bomb-de...,rememb bjp hindu parti move cautious turmoil major proport toppl develop agenda,1
https://entertainment.theonion.com/nuclear-bomb-de...,fool inexperienc damag rule lessmodi hatao india bachao,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,see lutyen anti modi mindset,0
https://www.theonion.com/stock-analysts-confused-f...,ratan tata optimist prais modi leadership new india,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,arrest nirav modi rule law,2
https://www.huffingtonpost.com/entry/versace-black...,deserv punish hate speech,2
https://www.huffingtonpost.com/entry/roseanne-revi...,gaali polit return andhra pradesh chandrababu naidu call narendra modi quotdemonquot look demon corrupt gaddar neta,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,hahathi salmasabrina flavor twistsociopath salma say modi govt care rich ignoresrob poor sabrina vadri quot like mao red book quotat,2
https://www.huffingtonpost.com/entry/barcelona-ref...,kamal haasan take chowkidar modi kamal haasan modi rich man guard stop poor peopl enter,2
https://entertainment.theonion.com/nuclear-bomb-de...,ppl keep thier name india god name say anyth thank modi polic way work ppl like get expos slowli slowli burkah went kargil use sattlit phone also help othersid true tell,2
https://entertainment.theonion.com/nuclear-bomb-de...,typic liason mutual benefit modi way amount cheat nation,2
https://www.huffingtonpost.com/entry/roseanne-revi...,dear governorani let peopl indian much rbi given modi govt last five year pleas inform outcom demonet amt circul howmuch note deposit rbihow much fake currenc detectedbenifit nation,2
https://www.huffingtonpost.com/entry/jeffrey-lord-...,indian movi produc desper produc narendra modi biopic even end career polit think taimur biopic far,2
https://www.huffingtonpost.com/entry/barcelona-ref...,sir one request bjp candid contest mandya felt bad vote first time last year vote mandya also huge modi fan could put candid mandya,2
