Id,clean_text,category
42,maid say rahul keep say modi kalla yet goe hug wink magand idu bekagittu,0
43,pleas vote modi congress tri divid india,0
44,ye good job highli insensitivearrog incompet ploar need defeat costnobodi know made arrog person minist gave ticketh touch grounddespit month upsc protest nvr met,1
45,hindustan seen worst hindu maj hindu rashtra thrash rascal face anti indian politiciansantin urban naxal wait watch modi win pakistan mein bhi hindu hona garv baat hogi,1
46,higher vote turnout directli proport bjp victori wonder modi launch campaign like dont sit home ensur everyon friend famili rel vote never,1
47,modi govt done remark job make corrupt free india ultim success shall achiev corrupt jail modi govt vision corruptionfre india ensur loot countri face law via namo app,1
48,use beg campaign,0
49,welfar deliveri gst ibc feo place modi exit psu nd term use money appoint judg polic forens lab fasttrack deliveri justic educ healthcar citizen invest defenc india well,1
50,new india modi tri build leader parti live deplor charact,2
51,overpromis underdeliveri pithi summari econom outcom last five year approach gener elect,1
52,heal touch india need surgeri remov cancer spread modi rss,0
53,farmer welfar farmer get second instal next month centr announc crore scheme,0
54,mistri man drag modi nri follow man wrong action taken spread hatr pleas agenda condemn crimin activ sir fyi pleas,2
55,think forgot dollar india handl except well one diplomat shrewd achiev alway undermin modi govern alway prone criticis even without consid aspect,1
56,entrepreneur rise india modi govt creat system took care tax concern creat infra incub well never happen congress guy want power sit shit simpl,2
57,noth els modi phobia,0
58,itna fark,0
59,modi govern modi govt effort last year govern reform institutionalis honesti way everi system institut design inculc well inspir honesti,0
60,sir namo jai hind jai modi muje puri bharat janta par vishwa hai sir aap hamr prime minist hong futur countri futur must prime minist bjp,0
61,anchor canva modi fit journal,2
62,slam maker biopic deliber use name credit,0
63,channel say modi also scare contest two seat even propoganda need littl decenc,2
64,new india india centuri yuva shakti take great height modi govt stand firmli via namo app,1
65,sure sir inform famili friend give record number vote modi sir bjp thank,1
66,loos exist elect rafel corrupt free scam free nation know natur except narendra modi bjp parti scammer aap nautanki baj,1
67,concierg super rich make unusu sight nirav modi hear via,1
68,confus said intellectu decid modi polici question intellectu side modi similarli disagre polici question decid anyth,2
69,ask learn treat minor well want minor,2
70,new india vote shri narendra modi,1
71,modi govt year cheat peopl promis impact lot thing economi countri brotherhood nation,0
72,logic sir could pleas throw light logic behind tweet bjpnda lose modi fight bengaluru south,0
73,modi opposit opposit leader intent clear dont understand fail attempt vote modi tell peopl come power,1
74,modi great oppon gener selfish idiot keep attack govern skill modi great yr tell give oppo know year modi rule wonder stupid world creat dishonest,2
75,pit pictur video hindu extremist crime year use coz ppl taken storm modi rss terror,1
76,vote kar narendra modi appeal everyon tweetstorm,0
77,modi mother elect khan would kill,1
78,last time paid loan entrepreneur name vijay maalya nirav modi whose number time pleas check next list,0
79,rahul doesnt make fals promis like modi alway deliv whatev promis may check track record count,2
80,kitna jalt tum modi tweet show jealousi toward great prime minist modi,1
81,centr state govt work togeth make india tbfree,0
82,ever rgi go length breadth countri recept mass india love modi leader bjp match,1
83,mad sandip singh sens jave akhtar could call narendra modi produc sandip ssingh credit row entertain news indian express,2
84,thank modi porn site ban,1
85,modi eat beef biryani sleep asaduddin owaisi,0
86,vote modi last time never economi screw hate ideolog propag need rahul one modi next week tell way bjp get major propaganda social media,2
87,congress fed biryani terrorist modi govern fed bullet bomb yogi adityanath,0
88,open eye see critic modi cong exculd monger vast indai like call bharat modi concern secur prais worthi autocrat norm deni everi alleg like kimjong pain sorrow regard,2
89,request stop use servic give favor big peopl like vijay malya nivav modi take money like nonscen charg,0
90,face haunt condemn abduct girl aliv wel also record messag still person order action unlik modi treat muslim vote bank,1
91,sharam karodesh ghotal bech khaega tumhara modi youth taken interest polit issu youth better judg right wrong,1
92,dont forget petrol price risen modi govern gulf price go,2
93,thought petta antibjp movi recent time,1
94,elect live blog met sapna choudhari yesterday want campaign manoj tiwari,1
95,superbl summarizedjai hind vand mataramagain modi sarkar,1
96,countri prosper women countri lead forefront support everi endeavour live modi govt focuss polici women enabl power empow nation via namo app,0
97,sabbash mera vote peppermit abvp,0
98,yogi adityanath hold ralli seek vote narendra modi amit shah,0
99,beginningmodi wada faramoshi dont believ take exampl use say give lakh everi indian year govern fail fulfil promis,2
100,modi polit hate modiji love india modiji want make new india corrupt free terror free india hate natur modiji ye modiji hate enemi countri terrorist destroy terrorist camp hatedont defam human kind pure honest,1
101,limit prefix twitter perhap accur captur state citizen,1
102,yogi adityanath take dig congress saharanpur candid imran masood saharanpur also soninlaw azhar masood peopl decid want person speak languag masood azhar modi prot g tread path develop,0
103,everi bank compani head chowkidhar protect institut fear modi chowkidar tsunami make opposit frenzi bank chowkidar perform duti well mallaya nirav modi wouldnt lootedsonia loot bcoz mm weak chowkidar,2
104,peopl india fed incompet modi govt blatant misus power rampant corrupt misgovern overt lie damag countri,2
105,modi govern corrupt mob worri protect loot send behind bar come dream looter includ kejriw,2
106,accord nomin paper irani destroy career life rememb modi made educ minist via feed,0
107,modi left year old wife return rss walay sab gay hain,1
108,shi kha yadav forget modi contest seat,0
109,mere bhai mai bhi graduat hucongress kon rojgaar faila rakha thabhai chor hai bjp modi strong nation,2
110,modi came power five yr ago youth india takenin promis creat jobsyr fast forward five yr present modi name lost job yrhigh unemploy,1
111,think like dream modi govern come,0
112,whoa actor made strong support statement modi,1
113,dont judg modi band fake chowkidhar bloodthirsti hate monger taliban indian mindset,2
114,brahminnon brahmin may baad karna chahiyeour focuss get modi elect wise antihindu guy keep persecut hindu even india anyway even know cast varda bhai donnot focu cast,1
115,vote kar narendra modi appeal everyon tweetstorm via,0
116,vote kar appeal everyon tweetstorm via namo app,0
117,agre unrequir kinda uncomfort must think unexpect idk say shown enough solidar get back normal live wish someon make offer narendra modi lol,1
118,funni dow two plane endian air chief replac detect everi endian sub near pakistani water admir replac modi look mirror look replac becom agent like adnan sami destroy endia within,1
119,modi move forward,0
120,elect look like modi versu noth swarajya,0
121,modi india modi anti india ye agre idea gentleman speak convict clariti,0
122,ppl pakistan never trust anyon hand cover blood muslim modi person,0
123,solut fight modi wave,0
124,first term prime minist promis second term perform even narendra modi except,1
125,hey alreadi pledg support modi also believ use link pledg vote,0
126,name throw modi rule task independ communist assert abandon lead liquid movement,0
127,use bjp money visit japan singapor usa yr left bjp modi ask tdp spend bjp moneyexp detail yr polit experi use increas pension dwacra yuvanestam scheme elect win vote,1
128,modi time,0
129,next song sung,0
130,hurrah welcom chinook multi role helicopt realli proud modi right step make strong nation urg peopl walk match disciplin step like fauji modi develop fli indian tiranga planet,1
131,kunal kamra pretenti chutiya modi work last five year braincel lost sinc birth smoke weed,1
132,narendra modiji vote kar narendra modi appeal everyon tweetstorm via,0
133,cow pleas fight elect graffiti mock modi appear bjp fail find candid bengal,2
134,shabana azmi take maker modi biopic say jave akhtar name put deliber mislead public,0
135,proud priminist modi,1
136,halala whr whole famili fuck poor woman den physic mental handicap kid born due genet depress dont worri abt progress time think abt religion still th centuri mindset,2
137,achh din vika black money job thing found post new india modi lie,2
138,see tweet justic blind fear modi rss bjp,2
139,see attack hindu modi support,1
140,rajput vote modi cheapest india,0
141,modi,0
142,also home nirav modi vijay malaya etc etc,0
143,chanc histori independ india propel economi due mainli reform time dynasti rule yr let reach star,1
144,rahul wise enough deni absolut major modi nda make aap cong deal best countri kejriw allow modi swee delhi finish next delhi assembl,1
145,vote modi,0
146,that modi magic ghochu,1
147,modi lotu bjp symbl becom soil everi comman men voter reach everi hoous booth voter victim arm forc fmli poll,0
148,weak state capac exacerb excess account nation alway elect mode fair modi champion simultan elect get opposit support comment need gurcharan da say,1
149,nan,0
150,ask vote modern india modi let even singl vote wast make nda stronger centr nota,2
151,modi endup mad manlik hitler mussolini pinochet nero stalin,2
152,obc pass gener log pass rrb rpf constabl cut anusaryr modi hatao,1
153,modi teli obc upbring mindset chowkidar kid would becom chowkidar gatekeep,0
154,vote kar narendra modi appeal everyon tweetstorm via namo app,0
155,politickl aisaa hai stage aspir kuch bhi karna hai inspir exampul modi respir becom lifebreath like modi jeevanshaile way life hindooizhm,0
156,dear modi pleas uploa ded link post doordarshan india youtub holi celebr santiniketan,0
157,vote non bjp parti would take countri forev underdevelop corrupt would forev spoil futur next gen vote modi alon,2
158,sapna chaudhari dancer sonia gandhi bar dancer work bar maid per research done mean waitress like modi modi chaiwala daruwali,1
159,malnutrit india constitu among worst affect mallikarjun kharg gulbarga fare worst malnutrit indic among highprofil constitu thiruvananthapuram best,2
160,seem deliri understand summer hai oopar elect bhi modi act lyncher saal kahan bhaisaab,0
161,call comparison modi imran clearli display qualiti raajdarbare ness,1
162,india need leader like rahul gandhi liar like narendra modi,0
163,hunainti mulsim kill india kashmir human awaken gov taken action alreadi dont worri modi sarkar,2
164,ahead global target centr state govern work togeth make india tbfree assert modi,0
165,even share seat delhi assembl fear look option tie modi fear clearli seen,1
166,wah super simpl convey gener public achiev thank modi saab,1
167,turn care countri minor pakistan modi india,0
168,document reveal modi javadekar war india environ controversi amend environment law procedur sought,1
169,everyon known even known speak polit line innoc life hunt object world topmost popular may known modi like kid help fill normal heart,1
170,door door campaign karyakarta bardowali mondal ward favour candit pratima bhoumik bar phir modi sarkar bjp zindabad,0
171,chor thug scamster corrupt tri stop modi resum busi corrupt,0
172,chowkidar chor everyon say modi hai mumkinhai,0
173,alon evk ask amma modi hotel min didnt even respect age due arrog come know media control never scrutinis like other,2
174,tshirt problem write modi thing call elect campaign everi parti way,1
175,bjp receipt disast one combin opposit candid chowkidaar tadipar parti back task sell tea gali good throw bjp noway win opposit parti aap congress maya akhilesh mamta bjd combin modi,1
176,congress time modi say also thing destroy indian institut congress point use,0
177,floor leader akbaruddin owaisi ive seen twitter chowkidar narendra modih also mention chowkidar aadhaar card passportw chaiwalapakodewalaif modi,0
178,cow pleas fight elect graffiti mock modi appear bjp fail find candid bengal,2
179,nationalist support modi,0
180,vote educ decent leader dont corrupt crimin yaar alway speak,2
181,hell bent manoj tiwari photo came priyanka dont enough candid celebr campaign reel life celebr mental strang modi ji development work team effort enough bjp might need sapna,1
182,baap baap everi one tell gandhi famili rich modi famili rich,1
183,sorri doc peopl didnt buy dream conveni avenu offer lyncher castiest religi bigot dont think indian dream imagin alreadi someon cast hierarchi that want,2
184,yawnn tell drunkard modi also guard mother brother husband,0
185,like way think realli simpl women right femal deiti,1
186,elect fight soul india,0
187,modi drawback atleast know rahul mahaghatbandhan sure maha mess,1
188,analysi indian air chief accept defeat still weak capabl respond defend modi ji corrupt rafal makng strong case purchasng rafal free tea pilot india need tea pakistan cost mig,1
189,qualiti modi strong leadership,1
190,studi reveal modi engag sachin tendulkar amitabh bachchan twitter increas visibl,0
191,narendra modi order indian air forc take action within day pulbama attack permiss done indian air forc see,1
192,man bharun aal also without modi,0
193,song,0
194,chowkidhar rich men see chowkidhar gaurd poor hous find chowkidhar nirav modi hous lalit modi hous mallaya hous,2
195,rafal landmodi need contract scrap awa see euro,0
196,tri prove loyalti modi seem indian muslim tri well seem make differ though still get beaten home ask pakistan keep tri though may get lucki,1
197,modi urg note person spread voter awar,0
198,rahul gandhi polit love defeat modi polit hate time vote love hate,2
199,youth vote modi friend youth vote modi,0
200,travesti modi crook fact suppressedr come speak,0
201,final day modi govern adani project jharkhand becom india first power sector sez via,1
202,reason demonet primarili detect black money stoppag terror failur chang reason digit india even fail curiou see modijaitley cook failur merger decis,2
203,modi behtar life crook,0
204,promis deliv epf pension univers health care nationalis primari educ drink water comprehens panindia solid wast manag polici pleas dont tell modi didnt tell,1
205,prior modi govt took poor peopl didnt access toilet crore women use cook light wood crore poor left bank sector villag didnt electr modi govt chang crore poor includ muslim benefit,2
206,year ago belov took oath take corrupt minist make india great guess anti indian jealou scare go reelect soon modi alway win best,1
207,modi majoritarian hate base polit obsess hindu nation divid plural nation enough reason determin vote,2
208,modi thing cabinet system govern bark order that,0
209,sir think name yogi seem remind utter like boti boti modi type languag definit terrorist,1
210,modi govt effort bear fruit malnutrit india year,2
211,sir wat till act strongli toi read told offici thing happen agn act strong accord warn action gvin lesson modi ensur ryt action ryt time,1
212,take look whether leader bjp congress ventur south croni capit still thrive meet candid promis household ten litr brandi everi month via,1
213,dear thank appreci definit win elect serv nation congress free,1
214,pick chairman deviou aadhaar isnt babyh face given upa term aadhaar pois return chair committe form modi govt report due shortli next govt,2
215,look face see courag grit face father modi,0
216,sir also ask whether realli made refer abp viral sach whether modi promis crore job per year,1
217,vote modi,0
218,ye want modi sarkar,0
219,ppl reasonour famili face filthi word opposit sensit time elect must shut mouth work public grievanc inko fark kye padta hai gaali dain bhukt modi,2
220,centr state govt work togeth make india tbfree narendra modi,0
221,final day modi govern adani project jharkhand becom india first power sector sez help adani save billion annual excel stori,1
222,one comment hardcor modi bhakt share postcard editor arrest share fake news know postcard editor arrest becuz speak truth proindia lier long lie sustain truth open,2
223,report card modi fare leader govt polit leader jai bhagwan goyal,0
224,come new mean nation hindu support modi antin doesnt prais govt initi,1
225,luv awesomemodi chai rock,0
226,mayb could he educ could respons peopl india understand youngster modi doesnt seem,1
227,master stroke well done prime minist narendra modi world biggest electr car manufactur confirm well enter india state reconfirm elon musk ceo founder tesla motor follow oneofthebiggest,0
228,east west modi best,1
229,made write muslim women empow wear hijab burqa nikah halala child marriag god job pleas husband modi hatr make lose larger perspect,0
230,everi thing look good tweet modi except hashtag,1
231,someon ask random question economi schemesyojana adaniambani modi dhruv tatti,2
232,share optim ratan tata agre modi leader need take india forward critic junctur take pride indian first reson citizen jai hind,1
233,let tell north karnataka constitu domin bjpgulbarga central karnataka davanger shivamogga chitradurga ballari clean sweep bjp consid modi wave domin lingayat commun,1
234,ghanta better bring good leader fed bjp see rahul gandhi think modi much better choic,1
235,demon call narendra modi demon definit human demi god,1
236,modi govt slash india educ budget clear indic dont care india futur congress presid shri hand ensur increas budget gdp futur india deserv,2
237,think hindu back let suffer miseri live dieget rapedshould problem unless someon ask help quit repress actsi hindu bother let rot say,1
238,professor research jnu bhu launch academ namo campaign support modi,0
239,ten reason vote modi bjp parti everi leader equal contribut commit build new india better india modi team invincbleit countri fortun leader like modiit countri wil win modi win,1
240,narendra modi braini drswami world put togeth modi also dharmic human heart someth one wish swami shall someday line divid chanakya shakuni dharma modi chanakya chowkidar drswami,1
241,let state govt handl law order drag modi resolv street fight,2
242,per affidavit chowkidar smriti graduat becom th grade pass may given back avoid qualif chowkidar modi educ degre entir polit scienc still given back,0
243,india rank world happi index countri modi year rank rank rank rank rank,2
244,alreadi call modi thief scamster,0
245,ye nincompoop nazi bjp politicis balakot raid test stop terror raid citizen maam educ person like nirmala live gross brazen corrupt lynch parti cadr lie modi shah everi day,1
246,rozi roti sawaal hai modiji blood dna shud read modichalisa meanwhil rajdeep shud also take case strongli bjp rss men kill love jihad happen south show class journal rajjo,1
247,big five media compani modi govern must scrutinis fulfil promis end croni capit,0
248,knew earlier taken photo modi ralli,0
249,secondli refer thee boom fact check websit know whether modi promis put lakh everyon account,0
250,dear son manak much good role media make modi hero honesti honest person chormahachor,1
251,ofcours mein bhi choukidaar apn desh proud first choukidaar narendra modi,1
252,letter friend happen modi support via,0
253,also tharoor add addit challeng claus self satisfact rat lion modi must win vote tharoor ward tharoor resid kejri similar challeng kejri lost varanasi modi lakh vote,1
254,jordan india world intoler countri ever feel shame shushma modi,1
255,still look produc autocrat monger norm realli hamper india turn kimjong hitler wake dear india power politician nehru dare indira seat winner rajiv dare hate modi,1
256,also chowkidar torchbear chowkidar modi,0
257,distinguish bagga modi day sell shirt,0
258,seem confid modi usual bhakt,1
259,good nation modi becom forev,1
260,two possibl said manag substanti evid got bail even first case got bail togetherso manag clear choic ur,1
261,countri need fascist modi cant allow continu loot indian need govt work common man,2
262,india prime ministerconfirm modi exchang greet imran congress abp news,0
263,surgic strike credit goe modi nirbhaya case handl credit goe delhi polic blame rape goe sheila dixit upa get credit either faster polic action get credit silent work heal wound,1
264,congress alway attempt empow peopl give right inform work food educ modi ruthlessli snatch away right,2
265,good read,1
266,friend dont wast time tt convinc neutral voter vote bjpmodi time instead,1
267,hate modi declar kind diseas disabilityif way contribut recent nation still doingdo incit even bit love respect heart himther someth terribl wrong biolog level,1
268,news break film maker modi biopic accus sexual exploit minor metabhi modiji life inspir hua hai jab gun milat hain tabhi koi biopic likhan film banan sochta hai modiji earlier chelafilm maker follow path,1
269,ratan tata lavish prais modi say deliv new india,1
270,shabana azmi take maker modi biopic say jave akhtar name put deliber mislead public bollywood,0
271,modi,0
272,dont want pappu run nation want leader like modi,0
273,wish modi win land slide victori india,1
274,rene absolut right ndtv everyth truth written also like zee news coz whatev show show fact wont fals say ndtv antimodi chennai jai hind jai bharat,2
275,shame nation confer leader call narendra modi quotterroristquot link hafeez saye pakistan call terrorist,0
276,youtub video might like modi bangladeshi jointli unveil sever project bangladesh,0
277,across aisl want manag watchmen indian express via,0
278,safe choor call chowkidar promis chor chowkidar jait fear chori wherev want includ rafal alibaba modi choor alway guid protect inturn deliv modi share chant modi chalisa,1
279,apk yar modi messag peopl celebr pakistan day believ time begin comprehens dialogu india address resolv issu esp central issu kashmir forg new relationship base peac prosper peopl,1
280,haha congress go gaga loot air land east west land currenc accus bjp loot templat chang modi brought,1
281,bjp elect ralli modi west meerut march,0
282,insolv bankruptci code second import econom reform write take top spot,1
283,asshol bahujan radic marxist grow brain knowunderstand congress bjp repres fuck cast oppressor ilk wasnt dalitbahujanadivasi rule countri past year ask chowkidar modi,2
284,growth stori indian economi modi regim reflect seriou concern gst collect estim target invest fell year low last quarter unemploy rate year high india rank happi index report,2
285,compet modi like mind peopl built aap kick parti what opinion,0
286,bjp chanakya work ruthless attitud modishah duo,2
287,that truth whole truth whole truth even bjp work cong agenda via mole parti ton molebureaucrat modi didnt fire day despit repeat warn swami bjpaap shorter spell congress,1
288,incompat life patient struggl modi govern polici nutrit,0
289,bjp furiou bc design reap big elector dividend pulwama burst due failur modi smart imran nvr exptd retali day light abi captiv war expect happen make war elect,1
290,agre arun kumarsushil modi nitish harm swarn,0
291,congratul madam hope win biggest margin make next govt stronger,1
292,modi greater india vote goe modi,1
293,must littl vocal ram mandir art etc vote bjp heavi heart want better altern,1
294,ratan tata lavish prais narendra modi say deliv new india,1
295,rajasthan governor kalyan singh aligarh rd march bjp worker want bjp emerg victori want modi becom import countri,1
296,kindli dont compar modi jee butcher gujrat imran khan,1
297,cji ban elec paper currenc independ year leas sign fake queen victoria elizabeth mafia govt fake pm nehru fake chaiwal modi amit shah scam nuclear rafal demonetis loot wwi mahabharat,2
298,modi sleep mother,0
299,ice cake varanasi loksabha seat modi aap give congress congress give give bsp bsp candid join bjp much fun,1
300,rahul gandhi life goal simpl becom india grow potato grab land make gold modi jealou,0
301,appeal everyon tweetstorm via namo app,0
302,clean defec four gener nehru rahul visibl fast senseless ladi speak forefath led best life gener suffer modi,1
303,guy trueli someth els,1
304,star campaign myth bjp lost assembl constitu narendra modi campaign recent state poll,1
305,modi bjp hindunationalist india sweetiepi,0
306,unpreced agrarian crisi record farmer suicid last year destroy autonomi everi institut india destroy independ india media news channel achiev modi govt,1
307,thatvi upa rule modishah duo let delhi polic job instead duo order harass opposit colleg student,0
308,like fake gandhi fake modi,2
309,rajasthan governor kalyan singh aligarh rd march bjp worker want bjp emerg victori want modi becom import countri,1
310,congress parti desir make power nehrugandhi famili put brake india develop modi govt disengag brake,1
311,india uae relationship great success stori govern vision leadership sheikh moham bin zay prime minist modi slowli sure take shape,1
312,inc better modishah helm bjp poach experienc inc leader fill lacuna far dynasti word concern hard look within bjp bail despit power yr bjp could manag much,1
313,still hybernatingur frnd nirav modi got arrest th modiji india kya bahar bhi haath dalakar kar dabocheng true nation eader modijia bimbo profess realiti read sum news definitey give competit dumbn,1
314,friday express shock name mention credit film,0
315,one vote make differ answer modi elect clarion call extend support campaign via namo app,0
316,one thing campaign start well get feel whole thing soon modi campaign trail formid oppon think bjp messag multiprong cant modi messiah messag,1
317,narendra modi urg note person spread voter awar,0
318,ask three question modi question valid could kindli answer small vide minut import,1
319,bharat even leav term like record,0
320,prime minist narendra modi urg voter across countri turn larg number vote upcom lok sabha elect seri tweet modi said,1
321,anyon better modi nehruji expir said altern shastiji prove best ever everybodi includ modi dispens,1
322,dont think bought anyth whine elect card let peopl decid whether want buy modi dont blame evm rd may eci clearli said yhat elect held use evm dont vote dont trust evm,1
323,wear heart vote timech heart failur,2
324,support leader honbl prime minist narendra modi new india,1
325,modi bjp indian never play victim card call lsl choos fool peopl name journal liber play card see digest call intoler still talk butcher call cattel class,2
326,idiot ever heard russian sukhoi mki best jet iaf fleet current built indigen hal air forc farzi deshbhakt like wont even hesit shit compani defend baap modi pathet,2
327,imran masood want chop modi liber grace,0
328,vote ensur govt need deserv respond modi appeal elect via namo app,0
329,show govern wreck environ,0
330,time blind faith modi absolut hate congress milind deora elect news indian express,2
331,time polit mileag leader good signal modi jee bodi object pakistan birth day congratul given india scold,1
332,also need modi minimum year fix mani pend issu,1
333,women power natur wat hinduism state everi right choos partner dress etc women respect man taught self control ardhanaariswara avatar state wife treat belong,1
334,chowkidar jibe modi,0
335,know modi rule everybodi becom crorepati check bjp leader incom arriv concern rahul alon,0
336,busi articul way ahead nation way allevi farmer woe unemploy improv fund health educ modi busi sell tshirt twitter sidekick busi sell bigotri fake nation look good,1
337,jingoism cong mediav think tank armchair politico parti made rune prospect elector fiasco made sure modi full power time best wish kamdaar chowkidaar sir,1
338,read truth behind modi sell india last remain preciou forest two day ago bhakt chor chowkidar abus share stori time wake rais voic save goldmin biodivers,1
339,lol gonna marri hippopotamu everi unmarri men becom hitler modi unmarrieddivorc women becom feminist agenda destroy everyon peac life get life miss marvi,1
340,modi countryh work chaiwala chowkidarbut thank corrupt fraudul activ etc take avatar,2
341,modi busi dismantl democraci congress presid rahul gandhi done everyth power fight right everi citizen uphold democrat spirit,1
342,congress simplifi gabbar singh tax implement modi govern implement actual singl slab gst benefit medium small busi destroy gabbar singh tax,2
343,bring modi back,0
344,chair power chandrababu extent grab power telgu desam parti ntramarao father law modi think yar,0
345,rajasthan governor kalyan singh aligarh rd march bjp worker want bjp emerg victori want modi becom import countri sourac ani,1
346,centr state govt work togeth make india tbfree via namo app,0
347,thank tweet even beat modi hust,1
348,promis deliveri modi came power promis achch din last five year overpromis underdeliv,0
349,give modi whistl cap want chowkidar akbaruddin owaisi,1
350,feku narendra modi shahe bhagat singh shahe diwa tribut via pm knowledg histori,0
351,havent read answer yet sure trump modi even leader darpok cant even sign setu file gather dust desk last year even leader read answer,1
352,india need enemi reelect modi pakistan one cannot even imagin man accus kill peopl end,0
353,modi countryh work chaiwala chowkidarbut thank corrupt fraudul activ etc take avatar,2
354,logic word defi foreverusa econom militarili scientif superior nation fool said make america great percent fool agre without counter questionthes modi clan similar,1
355,want modi sir prime minist long time prove includ mani peopl modi sir think prove think benefit,1
356,cant chowkidar brahmin subramanian swami,0
357,trend noth fool peopl hope vote congress atleast vision someth countri rahul gandhi partymen would modi agenda,0
358,apprehens real gut feel stem ground realiti sure modi india long year come,1
359,congress year wasnt abl complet one rafal deal bjp year alreadi complet rafal deal deliveri rafal start sept alreadi start proceed anoth fighter jet deal congress say modi hack evm,1
360,dirti polit start doo whatev modi papu raffl raffl fail chokdar chor chor chor chor chor machye soor aur abb apn ristdaar mare hai proof chaye,2
361,chowkidar hee chor hain baap chor beta bada chor aur unk gujju dost maa tukdo kharidn jurrat bhi kartein hain sab chor hain aaj bjp kal nahi high time junta realis bjp upto one time modi remain,1
362,transform indian railway modiji governmenta step step inform,0
363,jd mla ask peopl slap seek vote modi,0
364,hope hindustan take countri field scientif technolog come day possibl modi anoth yr jai hind,2
365,two option elect choos lotu lootu nice line seen banner bangalor want india modifi agar majburi naam mahatma gandhi hai majbuti naam narendra modi hai modi vision rahul divis,1
366,need modi lead bjp govern jammu kashmir polic say baramula free local terrorist year vote new india namo,1
367,dont know mani father mother idea kid start end career make punctur think way other wais amit modi kaun hai naya aya hai kya maidan mein,1
368,boycott congress behter india want modi,0
369,modi promis congr free hindustan hold govern state three state vote opposit mere lie penanc doubt honest man mandat modiji heavili wash thier sin modi met promis,1
370,think modi behind accid,2
371,rajasthan governor rd march bjp worker want bjp emerg victori want modi becom import countri,1
372,come india announc resign today get new nirav modi process,1
373,modi hater definit say dub acha kiya,0
374,sinc inc insist singl standard rate cap arrog modi sarkar destroy msme yr world complic rate modif,2
375,piggyback modi wave one knew polit way win especi whole bjp nosediv bihar rahul regain lac major,1
376,lost hope job pak tvanchor may wen modi resum second tym fear vanish lyk thapar oblivion whatev anti modi job sinc croc tear wont work patriot india everybodi know wat,0
377,found articl,0
378,fyi late kuldip nayar write book titl leader icon jinnah modi indira gandhi insist cremat shastri allahabd lalita shstri threaten fast onto death buri raj ghat jai jawan jai kisan inscript,2
379,intent clearli correct jave akhtar modi credit,2
380,pappu kejri mamata look modi bought microsoft must arrang morcha protest,0
381,unemploy rate year high male labor forc shrink sinc due fear expos modi didnt dare publish employ report mudra scheme till date,1
382,gawar bhakt jali also stupid bio say counter fake news propaganda lmao narendra modi biopic propaganda lol,1
